PassengerId,Survived
904,0.84
906,0.68
916,0.58
918,0.83
920,0.72
926,0.65
936,0.57
938,0.46
940,0.71
942,0.81
945,0.71
949,0.13
951,0.81
956,0.92
960,0.36
961,0.45
965,0.66
966,0.77
967,0.77
969,0.64
973,0.37
984,0.65
988,0.63
992,0.78
1001,0.88
1004,0.66
1006,0.48
1009,0.87
1010,0.67
1014,0.72
1023,0.88
1034,0.41
1042,0.88
1048,0.71
1050,0.74
1058,0.87
1069,0.88
1070,0.6
1071,0.41
1073,0.81
1074,0.64
1076,0.78
1088,0.88
1094,0.55
1100,0.69
1107,0.54
1110,0.66
1114,0.81
1126,0.76
1128,0.57
1131,0.57
1134,0.57
1137,0.66
1144,0.82
1162,0.47
1164,0.82
1179,0.84
1185,0.95
1197,0.4
1198,0.68
1200,0.9
1206,0.73
1208,0.64
1213,0.13
1214,0.88
1218,0.91
1223,0.61
1227,0.59
1235,0.71
1242,0.6
1247,0.95
1248,0.73
1256,0.81
1263,0.75
1264,0.33
1266,0.95
1270,0.85
1282,0.85
1283,0.91
1287,0.78
1289,0.92
1292,0.79
1296,0.72
1297,0.89
1299,0.66
1303,0.77
1306,0.77
